#
# D/10^-5  Cs   Co    L        deviation
#
0.731   23.9   44.9   0.1698   1.2E-02
1.350   16.2   70.1   0.1670   6.2E-02
1.190   33.9  131.5   0.1643   3.4E-02
1.331   23.6   97.6   0.1691   6.0E-02
0.713   39.7   78.8   0.1646   6.2E-02
4.016    3.0   42.8   0.1650   3.4E-02
2.787    9.8   96.8   0.1643   8.5E-02
1.331   23.6   97.6   0.1691   6.0E-02
1.026   36.6  119.2   0.1641   1.8E-02
0.888   29.4   73.1   0.1698   5.1E-02 
0.876   18.4   46.5   0.1675   2.1E-02 
0.888   32.6   80.8   0.1698   6.7E-02 
2.725    4.9   46.6   0.1654   8.5E-02 
2.419   15.9  130.4   0.1672   6.2E-03 
0.820   22.2   50.1   0.1690   1.5E-02 
2.739    4.9   46.2   0.1666   2.6E-02 
0.953   38.0  108.5   0.1667   6.7E-03 
0.940   23.8   68.7   0.1649   2.4E-02 
0.722   17.7   33.8   0.1680   9.0E-02 
0.876   18.4   46.5   0.1675   2.1E-02 
1.173   31.7  121.0   0.1643   6.8E-02 
0.798   39.8   87.4   0.1684   4.9E-02 
3.055    6.7   73.0   0.1643   2.0E-02 
0.796   32.7   70.7   0.1691   4.3E-02 
0.616   36.6   57.1   0.1646   1.7E-02 
0.812   33.2   77.1   0.1664   1.4E-02 
0.992   23.0   70.0   0.1659  2.12E-07 
1.125   36.7  126.0   0.1682   5.4E-02 
4.676    7.3  120.4   0.1668   1.3E-01 
1.714   20.0  108.9   0.1699   1.3E-02 


